Bedrooms,Bathrooms,SquareFeet,Neighborhood
3,2,0.3381803446444921,1
5,2,1.372050475537393,0
4,3,1.6101012451715566,1
2,3,0.7291396378392866,1
5,1,1.1339997059032292,2
3,3,0.7934307216090972,1
2,1,0.4337481718698863,2
4,3,-0.46111421033153205,1
5,2,0.9550272294629455,1
2,3,-1.423742870020048,1
4,2,1.3303481509299482,0
2,1,-1.475870775779354,1
2,3,-1.2360824092865468,0
2,1,0.6005574702996652,2
5,2,1.356412103809601,2
4,2,1.3338233446472352,1
4,2,-0.7547680794422887,1
5,1,-0.8659742783954747,0
5,3,0.6196710357447441,2
4,3,0.3711946849587192,0
2,2,1.0836093970025669,1
2,1,0.7048132818182771,2
2,3,1.3338233446472352,1
5,1,-1.6531056553609942,1
3,2,-0.4993413412216897,1
5,2,-1.6548432522196377,2
3,2,-1.1926424878204585,0
5,1,-0.7547680794422887,1
2,3,-1.5106227129522247,2
4,3,0.5345287896712111,2
3,2,-0.7877824197565159,0
5,3,-1.0710107077154114,1
2,2,-0.8364351317985347,2
4,2,-0.1031692574509647,2
5,1,1.339036135223166,0
3,2,-1.4637075977688494,2
2,1,1.2747450514533551,2
4,2,-1.1578905506475878,2
2,2,-0.3325320427919108,1
2,2,-1.2673591527421304,0
5,2,0.979353585483955,2
3,3,-0.5671076187087875,2
4,1,-0.713065754834844,1
3,1,-0.5532068438396391,0
3,3,-0.6487746710650334,2
5,2,-1.6270417024813413,0
5,3,1.716094653548812,2
4,2,0.7030756849596336,1
4,2,0.9428640514524408,2
4,2,-1.482821163213928,1
5,1,-0.20047468153500242,0
5,3,-1.2517207810143385,0
4,3,-1.5940273621671142,0
5,2,-0.8155839694948123,2
2,3,0.7708419624467313,0
5,2,1.6153140357474873,1
3,1,1.5631861299881813,0
4,1,-0.0805804982885988,2
2,1,-0.7252289328453487,2
4,2,1.497157449359727,1
4,3,0.46502491532546986,1
3,2,-1.4671827914861364,1
3,3,-0.04235336739844112,2
2,1,0.5241032085193499,0
3,3,0.36424429752414506,2
4,2,-0.5723204092847181,0
2,1,1.2156667582594751,2
2,2,-0.12749561347197413,0
5,1,1.2365179205631975,1
2,1,-0.8190591632120994,2
5,3,-1.3768277548366727,1
4,3,1.297333810615721,0
5,2,-0.37075917368206845,2
3,3,-0.9302653621652853,0
2,3,0.08101600956524957,2
2,3,1.0662334284161314,2
4,3,1.1339997059032292,2
3,2,0.5119400305088452,0
2,1,-0.28735452446717896,0
2,3,0.054952056685596606,0
3,1,0.6578981666349017,2
5,3,-1.3716149642607423,1
3,1,-1.190904890961815,0
4,2,-1.131826597767935,0
2,3,0.8316578524992548,2
5,3,0.35729391008957095,1
4,2,-1.7260847234240224,0
4,3,-0.687001801955191,2
5,1,-1.387253335988534,0
5,3,-1.3160118647841492,2
3,3,-1.3264374459360104,2
5,2,0.8316578524992548,2
4,1,0.21654856453944496,2
3,1,-1.6843823988165778,0
2,1,-0.24043940928380364,1
5,1,0.030625700664587172,2
3,2,-1.0067196239456007,2
5,2,0.9133249048555008,2
4,3,0.8142818839128195,2
3,3,0.9028993237036396,2
5,2,0.004561747784934211,0
4,2,1.438079156165847,2
3,1,0.6700613446454065,0
4,3,-0.6800514145206169,0
3,3,0.3260171666339874,0
5,3,-0.13444600090654826,2
4,2,-0.44895103232102734,1
3,1,-0.7547680794422887,0
5,2,1.1409500933378034,1
5,2,-1.1804793098099537,0
5,3,0.6665861509281195,2
4,2,1.1148861404581503,1
4,2,-0.3012552993363272,2
5,1,0.054952056685596606,1
2,2,1.034956684960548,2
5,1,1.5232214022393802,2
5,2,-0.76519366059415,0
4,3,-0.2734537495980307,1
